surface_m2,nb_pieces,nb_chambres,arrondissement,etage,nb_etages_immeuble,annee_construction,balcon,terrasse,parking,cave,ascenseur,renovation_recente,distance_metro_m,prix
38,4,3,12,5,7,1862,0,0,0,1,1,0,364,408231
33,2,1,18,2,5,1958,0,0,0,0,1,0,251,291622
140,3,2,2,1,3,1963,0,0,0,0,1,0,470,1468608
51,3,2,19,0,3,2002,0,1,0,0,0,0,634,454574
84,3,2,10,6,8,1974,1,0,1,0,1,0,437,904188
63,2,1,3,6,8,1954,0,0,0,1,1,1,81,768352
36,2,1,12,0,3,1990,0,0,0,0,0,0,229,325234
54,4,3,16,3,5,1886,1,1,0,1,1,0,376,837512
37,4,3,12,1,3,2007,0,0,0,1,0,0,172,447198
198,2,1,8,5,6,1989,0,0,0,0,1,0,80,2664540
92,1,0,5,4,5,1867,0,0,1,0,0,0,211,1206986
62,1,0,11,2,5,1971,0,0,0,0,0,0,168,767989
81,1,0,10,1,3,1934,1,0,0,0,0,0,494,712007
89,3,2,3,6,9,1966,0,0,0,0,1,0,137,898722
89,1,0,9,4,5,1967,0,0,0,0,1,0,246,1185412
87,2,1,12,0,3,1911,1,0,0,0,0,0,326,981829
83,4,3,6,4,6,1873,0,0,0,1,0,0,256,1044102
65,2,1,19,5,6,1909,0,0,0,1,1,0,257,616720
134,4,3,16,4,5,1994,1,1,0,0,1,0,409,2377541
67,4,3,14,3,6,1955,0,0,0,0,0,0,338,676435
63,2,1,4,4,7,1909,0,0,0,0,0,1,717,679332
67,4,3,18,4,7,1858,0,0,0,0,0,0,302,565478
70,4,3,10,4,6,1992,0,0,0,1,1,0,380,822382
28,2,1,18,7,8,1926,0,0,1,1,0,1,283,342812
40,2,1,12,1,4,2005,1,0,0,0,0,0,189,492335
58,3,2,19,4,5,1930,0,0,0,0,1,0,361,458917
27,5,4,8,1,3,1975,0,0,0,0,0,1,378,415459
62,3,2,1,1,3,1986,0,0,0,0,0,1,737,541891
69,2,1,14,4,6,1905,1,0,1,1,1,1,393,984993
32,3,2,6,6,8,1943,0,0,0,1,0,0,168,425436
44,2,1,14,1,4,1976,0,0,1,1,1,0,301,454446
118,3,2,2,7,8,1885,0,0,1,1,0,1,197,1390145
82,4,3,9,2,5,1977,0,0,1,0,1,0,175,1090994
79,3,2,12,2,3,1869,0,0,1,0,1,1,532,927540
110,4,3,5,1,3,1904,1,0,0,0,0,0,121,1462725
40,4,3,2,4,5,1909,0,0,0,1,1,0,293,365830
32,3,2,19,4,6,2012,0,0,0,0,1,0,549,308749
102,2,1,7,3,5,1978,0,0,1,0,1,0,476,1768316
59,4,3,7,3,4,1894,1,1,0,0,0,0,518,922517
40,5,4,10,4,7,2017,0,0,0,0,1,0,342,405828
28,1,0,17,4,7,2015,1,0,0,0,0,0,181,357446
67,3,2,14,2,4,1873,1,0,0,1,0,0,305,666179
55,2,1,11,6,7,1853,0,1,0,1,1,0,547,487377
51,4,3,20,4,6,1940,1,0,0,0,1,0,384,431079
23,4,3,6,1,4,1956,0,0,0,0,0,0,271,301083
133,1,0,8,2,5,1862,0,0,0,1,1,1,123,2272754
30,4,3,19,5,7,1998,1,0,0,0,1,0,716,293728
53,2,1,19,1,3,1950,1,0,0,1,0,1,353,553525
49,4,3,17,5,7,2009,1,1,1,0,1,0,119,676771
83,3,2,18,2,4,2015,0,0,0,1,0,0,292,919418
28,2,1,12,4,6,1944,1,1,0,1,0,1,320,400230
78,2,1,9,2,3,2009,1,0,0,1,0,0,913,1101328
68,2,1,16,7,8,1906,0,1,0,0,0,0,401,998092
43,3,2,18,6,9,2007,1,0,0,0,1,0,202,484463
76,3,2,16,7,8,1920,1,0,0,0,1,0,256,1168776
62,1,0,16,1,3,2015,0,1,0,0,1,1,436,1076888
151,1,0,4,6,7,2021,1,0,0,0,1,1,302,2003266
55,1,0,7,3,5,2003,1,0,1,0,0,1,310,1105637
37,4,3,1,5,8,1949,1,0,0,0,1,0,350,452007
78,4,3,20,1,4,1956,0,0,0,1,1,1,269,802471
52,1,0,1,5,7,1939,0,1,0,0,1,0,637,644849
61,3,2,8,6,9,1957,1,0,0,1,0,0,317,981820
32,1,0,8,2,4,1979,0,0,0,0,1,0,489,433427
84,5,4,10,1,3,1892,1,0,1,0,0,0,738,843957
48,5,4,1,1,3,1892,0,0,1,0,0,1,236,623148
70,3,2,14,2,3,1912,0,0,0,1,0,0,894,659321
172,5,4,14,3,4,1922,0,0,1,0,0,0,269,1882733
54,4,3,10,6,9,1966,1,1,1,0,1,1,316,580423
90,4,3,19,2,3,1897,0,0,0,0,0,1,379,975244
56,3,2,16,4,7,1854,0,0,1,1,1,0,506,808803
44,2,1,9,3,4,1925,0,0,0,0,1,0,216,603043
120,2,1,20,2,3,1884,0,0,0,0,0,0,207,1080705
25,2,1,16,3,6,1942,0,0,1,0,1,0,198,329725
103,3,2,20,1,4,1993,1,0,0,1,1,0,631,834856
24,2,1,8,4,5,1932,1,0,0,0,1,0,176,417937
97,2,1,7,1,3,1909,0,0,0,1,0,0,892,1276976
62,3,2,11,5,8,1956,0,0,1,0,1,0,189,690993
37,2,1,6,1,4,1966,0,0,0,1,1,0,462,544864
49,3,2,15,7,8,1900,0,0,0,1,1,0,208,617132
87,5,4,19,6,7,1976,1,0,0,1,1,1,579,762984
163,4,3,14,2,5,1940,0,0,0,0,1,1,106,2152629
28,3,2,15,3,4,1931,0,0,0,0,1,0,550,278653
38,3,2,6,2,4,1908,0,1,0,1,1,0,221,615239
31,3,2,10,5,8,1913,0,0,1,1,0,0,445,299823
55,2,1,14,2,4,1954,0,0,0,1,1,1,358,710112
99,5,4,16,5,8,1990,0,0,1,0,1,0,153,1718512
30,2,1,13,0,3,2003,0,0,0,0,0,0,976,262078
61,1,0,11,1,3,1919,0,0,0,0,0,0,452,671683
97,4,3,3,2,3,1980,0,0,1,0,0,0,454,1036791
49,2,1,8,1,4,1861,1,0,1,0,1,0,857,764241
68,2,1,3,4,7,1890,0,0,0,0,1,1,186,878227
115,1,0,2,0,3,1954,1,0,0,0,1,0,477,1261216
35,1,0,14,6,7,1914,1,0,0,1,1,1,361,448837
26,2,1,20,5,6,1912,0,0,0,1,0,0,346,222465
72,1,0,15,1,3,1857,1,0,1,0,0,0,321,776559
73,3,2,3,3,6,2008,0,0,0,1,0,1,74,975284
47,4,3,1,3,5,1860,0,0,1,1,1,0,210,559266
43,2,1,15,5,7,1866,0,0,0,1,1,0,360,448146
62,4,3,20,3,5,2004,1,0,0,0,1,0,440,691448
35,2,1,2,0,3,1973,0,0,0,1,0,1,415,361887
35,2,1,18,2,5,1944,0,0,0,1,1,0,124,412711
87,2,1,1,3,5,2004,0,1,0,1,0,1,183,1314202
34,3,2,9,7,8,1964,0,0,0,0,0,0,457,354794
27,2,1,3,6,9,1972,0,0,1,0,1,1,199,334995
43,3,2,2,1,3,1936,1,0,1,1,0,1,91,590012
48,4,3,4,5,7,1905,0,0,0,1,1,0,146,571630
78,3,2,16,7,8,1943,0,0,0,1,1,1,316,1149288
45,3,2,1,0,3,1947,0,0,1,1,0,0,290,437962
126,5,4,9,5,6,1868,0,0,0,0,0,0,299,1266818
64,2,1,8,3,4,1906,0,0,0,0,0,1,328,1032226
40,2,1,6,4,6,2008,1,0,1,1,1,1,471,693439
76,4,3,20,4,7,1865,1,1,0,0,1,0,168,753370
125,3,2,18,7,10,1894,1,0,1,0,1,0,222,1232101
86,2,1,16,2,4,2004,1,0,0,1,0,1,289,1808522
29,2,1,8,5,7,2003,0,0,0,0,1,0,110,514419
50,3,2,4,1,4,2006,1,0,0,0,0,1,277,704358
70,2,1,3,3,5,1962,1,0,0,0,1,1,241,883747
84,2,1,15,7,9,1970,1,0,0,1,0,0,275,991002
56,5,4,6,5,6,1952,1,0,0,1,0,1,538,840372
52,4,3,1,2,5,1976,1,0,0,1,1,1,240,658667
150,3,2,18,4,5,1893,0,0,0,1,1,0,153,1421721
87,3,2,11,0,3,1958,0,1,0,0,0,0,747,857745
76,5,4,3,2,3,2006,0,0,0,0,1,1,145,950843
46,1,0,13,5,8,1958,0,0,0,0,1,0,285,370519
35,2,1,17,4,7,1959,1,0,1,0,1,0,383,427550
77,3,2,18,3,4,1960,1,0,0,0,1,0,155,932502
92,4,3,14,4,6,1979,0,0,0,0,1,0,252,842310
61,1,0,7,2,5,1983,0,0,1,0,1,0,281,1043610
87,6,5,7,0,3,1858,0,0,1,0,0,0,469,1381629
88,3,2,14,3,5,1864,0,0,1,0,0,0,231,1039430
95,2,1,15,6,7,1907,0,0,0,0,1,0,493,1042529
29,2,1,12,6,8,1851,0,0,1,0,1,0,268,315432
51,2,1,12,3,5,1980,0,0,0,0,1,1,500,721372
80,4,3,8,0,3,1904,0,0,0,0,0,1,159,1253673
63,5,4,16,4,7,1902,0,0,0,0,1,0,180,1097357
88,2,1,9,5,8,1943,1,0,1,0,1,0,696,1108428
76,5,4,2,2,4,1921,0,0,1,0,1,0,75,1090885
23,4,3,14,3,6,1889,1,0,1,0,1,0,175,259865
108,3,2,16,7,10,1888,0,0,0,1,1,0,492,1448135
48,3,2,5,4,7,2020,0,0,0,0,1,1,718,725513
39,2,1,5,2,3,1990,0,0,0,0,0,0,127,492122
106,3,2,20,4,6,1953,1,0,1,0,1,0,466,944092
84,1,0,18,1,3,1954,0,0,0,1,0,0,121,883424
114,3,2,18,1,3,2014,1,1,1,1,1,0,89,1629286
70,1,0,5,7,8,1904,1,0,0,0,1,0,189,876968
50,4,3,11,1,4,2009,1,0,1,0,1,1,283,719297
66,4,3,13,2,3,1991,0,0,0,0,0,0,74,640188
36,2,1,3,3,5,1914,1,0,1,0,1,0,183,438381
31,2,1,17,6,7,2004,1,0,1,0,1,0,210,374505
44,3,2,18,5,6,1873,1,0,0,1,1,0,633,337953
133,3,2,14,0,3,1964,1,1,0,1,0,0,253,1653994
46,2,1,12,4,7,1962,0,0,1,0,1,1,656,568665
27,3,2,14,3,4,1871,0,0,0,0,0,0,288,257260
56,2,1,18,3,5,1927,1,1,0,0,0,0,362,671156
46,1,0,20,4,5,1894,0,0,0,0,1,0,493,338276
109,1,0,2,1,3,1985,1,0,0,1,0,0,473,1177078
128,1,0,7,7,10,1913,1,0,0,0,1,1,544,1858968
49,4,3,15,4,6,1946,1,0,0,0,1,0,392,654143
70,6,5,10,2,3,1964,1,0,0,1,0,0,155,709233
73,2,1,15,4,5,1870,0,0,0,0,1,0,90,853231
60,3,2,17,1,3,2009,1,0,0,0,0,0,466,677251
54,1,0,11,4,5,1954,0,0,0,1,0,1,428,683532
38,3,2,2,0,3,1894,0,0,1,0,0,0,170,399979
25,1,0,18,2,4,1893,0,0,0,0,1,0,373,257454
38,3,2,4,5,8,1890,0,0,0,1,1,0,303,376744
59,5,4,9,5,7,1945,1,0,0,1,1,0,208,748347
30,2,1,17,2,3,1988,0,0,0,0,0,0,319,339216
68,4,3,17,3,5,1950,1,0,1,0,0,0,631,834001
63,1,0,17,3,5,1964,0,0,1,0,1,1,617,749706
46,2,1,16,3,5,1867,1,1,0,0,1,0,451,741312
53,1,0,20,1,3,1988,1,0,0,0,0,0,351,426435
32,2,1,8,5,6,1876,1,0,1,1,0,0,142,609344
94,2,1,15,2,5,2020,0,0,1,0,1,1,246,1152264
93,2,1,1,6,9,1951,1,1,0,0,0,1,189,1504371
34,2,1,19,3,4,1878,0,1,1,0,1,0,454,341285
34,2,1,15,6,7,1998,1,0,0,0,1,0,257,361733
38,3,2,9,2,4,1878,0,0,0,1,1,1,101,491758
82,5,4,5,5,6,1986,0,0,0,0,1,0,402,957507
73,2,1,16,1,4,1951,0,0,0,0,0,0,269,859079
105,2,1,13,5,6,1940,0,0,0,0,1,0,412,972648
111,2,1,16,2,5,1854,1,0,0,0,1,0,395,1523255
29,4,3,11,3,4,1946,0,1,0,0,1,1,323,394112
80,3,2,13,1,3,1864,1,1,1,1,1,1,66,946657
109,3,2,6,0,3,1854,0,0,0,1,0,1,178,1349932
51,1,0,20,4,7,1997,1,0,0,0,1,0,307,421635
60,2,1,17,4,5,1950,0,0,0,0,1,0,190,809942
56,2,1,5,4,6,1930,0,0,0,0,1,0,124,803116
57,5,4,17,2,4,1963,1,0,0,1,1,1,287,806769
94,5,4,1,1,4,1853,1,0,1,0,1,0,343,1192568
147,1,0,5,6,8,1883,0,0,1,0,1,1,453,2125037
124,3,2,5,5,8,1889,0,0,0,0,0,1,411,1804895
47,2,1,7,2,5,1999,0,0,0,0,1,0,388,684777
70,2,1,16,4,7,1976,0,1,1,0,1,0,116,1355702
41,4,3,18,6,8,1991,1,0,0,1,1,0,385,405761
43,3,2,6,6,8,1985,0,0,0,0,1,0,632,551631
59,2,1,2,0,3,1977,0,1,1,1,0,1,779,843911
42,2,1,13,5,7,1916,0,0,1,1,1,0,202,401745
45,4,3,10,2,4,2023,0,0,0,1,1,1,522,453273
69,3,2,20,5,8,2006,1,1,0,0,0,0,568,629223
79,3,2,11,2,5,1963,1,0,0,0,1,0,160,851182
78,2,1,2,4,6,1968,0,1,0,1,1,1,624,1024563
79,2,1,8,4,7,1943,0,0,0,0,1,0,350,1214412
33,5,4,19,3,6,1861,0,0,0,1,1,0,950,232120
41,3,2,20,3,4,1901,1,0,0,0,1,1,597,310975
62,2,1,17,5,8,1851,0,0,1,1,1,1,366,807422
106,3,2,16,3,4,1850,0,0,0,1,0,0,92,1873218
193,4,3,10,0,3,1904,0,0,0,0,0,0,229,1739367
72,2,1,5,0,3,1953,1,0,1,1,0,0,550,867228
89,2,1,14,4,5,1948,1,1,0,0,1,0,212,980270
31,3,2,19,6,7,2011,0,0,0,0,1,0,360,303679
88,3,2,4,5,6,1917,0,0,1,1,1,0,289,981054
164,4,3,20,2,3,1931,1,0,1,0,0,0,245,1427204
41,5,4,16,3,4,1989,0,0,0,0,1,0,377,648934
46,2,1,15,1,3,1899,0,0,0,0,0,1,379,513361
96,1,0,9,7,8,1870,1,1,0,0,1,1,125,1518983
62,5,4,3,2,4,1859,1,0,0,0,1,0,331,675260
25,2,1,9,3,4,1934,1,0,1,0,1,0,82,323987
47,3,2,18,4,5,1953,0,0,0,0,1,0,392,429114
127,3,2,4,6,8,1938,0,0,0,0,1,0,693,1475628
53,3,2,19,0,3,1963,0,0,0,1,0,1,804,444871
53,2,1,4,2,3,1964,1,0,0,1,0,0,633,572337
92,4,3,9,4,5,1863,1,0,1,0,1,0,387,1145089
73,4,3,1,4,7,2017,1,0,0,1,0,0,468,1042746
51,3,2,1,0,3,1953,1,0,0,1,0,0,342,674459
44,3,2,20,4,7,1931,1,1,1,0,1,0,349,492915
247,1,0,19,3,6,1879,0,0,0,1,1,1,403,2563848
116,1,0,3,6,8,1863,0,0,1,1,1,0,378,1150256
79,2,1,10,1,4,1959,0,0,1,1,1,0,301,915551
81,2,1,12,1,3,1994,0,0,1,1,0,0,607,851073
57,5,4,18,5,8,1911,0,0,0,1,1,0,264,535304
73,4,3,14,5,7,1959,1,0,0,0,1,0,208,893951
54,3,2,10,5,8,1999,0,0,0,0,1,0,839,498730
39,3,2,10,5,8,1902,1,0,0,0,1,0,129,453414
74,2,1,18,1,4,2009,1,0,1,0,1,0,258,823382
52,6,5,1,2,5,1925,0,0,0,0,1,0,176,630867
76,2,1,15,2,5,1904,0,0,0,0,1,0,135,823700
84,1,0,8,7,10,1871,0,0,0,0,1,0,545,1129332
78,3,2,3,3,6,2015,0,0,0,0,0,0,92,877508
38,4,3,18,1,3,1952,0,0,0,0,0,0,686,308464
49,5,4,9,2,3,1894,1,0,1,1,0,1,172,857939
52,1,0,16,6,8,1968,0,0,0,0,1,0,493,777895
101,5,4,15,6,9,1857,0,0,0,0,1,0,437,959207
98,2,1,5,6,9,1914,0,0,1,0,1,0,173,1284300
42,1,0,13,2,4,2017,0,0,0,1,1,1,568,385619
32,4,3,20,4,7,1854,0,0,1,1,1,1,192,375245
199,4,3,7,2,4,1894,0,0,1,0,1,0,624,2950526
77,3,2,16,1,4,1895,1,0,1,0,1,1,277,1276328
31,3,2,7,0,3,2013,0,0,0,1,0,0,566,451688
45,4,3,16,1,3,1994,1,0,0,1,0,1,219,766062
104,4,3,13,4,7,2018,0,0,0,0,1,0,957,920959
171,5,4,17,6,7,2007,0,0,1,1,0,0,723,1934871
155,3,2,9,1,3,1928,0,0,0,0,0,0,308,1703164
75,6,5,12,6,8,1997,1,0,0,0,1,0,225,900198
61,6,5,13,2,3,2013,1,0,0,1,0,1,83,786803
36,1,0,9,3,5,1915,0,0,0,0,1,0,433,421074
64,4,3,5,2,4,2022,1,0,1,1,1,0,285,925790
38,3,2,7,3,4,1853,0,0,0,0,1,0,209,448846
49,2,1,1,2,4,1937,0,0,1,0,1,0,291,608118
95,3,2,4,4,5,1904,0,0,0,0,1,1,302,1251350
54,1,0,4,5,8,1908,0,0,0,0,1,1,98,790504
52,3,2,16,6,8,2019,0,1,0,0,0,0,1084,826663
60,4,3,5,2,3,1851,0,0,0,0,0,1,56,840840
216,2,1,4,5,6,1895,1,0,1,0,0,0,330,2378909
35,2,1,6,4,5,1851,1,1,0,0,1,1,377,596886
71,5,4,3,7,8,1978,1,0,0,0,1,0,213,687342
148,2,1,8,3,6,1862,0,0,0,1,1,1,417,2797465
59,2,1,17,7,9,1919,1,0,0,1,1,0,165,803077
114,2,1,18,5,6,1871,0,0,0,0,1,1,253,1063102
31,3,2,18,5,7,1866,1,0,0,0,0,0,196,318214
55,3,2,12,0,3,1935,1,0,0,1,0,0,187,681541
40,4,3,1,3,5,1919,0,0,0,1,1,1,267,564452
59,3,2,12,3,4,1965,0,0,1,0,1,0,175,888313
60,4,3,11,0,3,1852,0,1,0,0,0,1,180,698458
63,3,2,13,2,5,1959,1,0,0,1,1,0,243,600621
95,2,1,3,7,9,1930,0,0,0,0,1,1,464,1038656
23,3,2,8,3,4,1950,1,0,1,0,1,0,467,387238
44,4,3,3,1,3,1884,0,0,0,1,0,0,281,367494
68,3,2,17,3,6,2000,0,1,0,0,1,0,548,853946
25,1,0,13,0,3,1984,1,0,0,0,0,1,1211,246320
85,2,1,10,3,6,1899,0,0,0,1,1,1,560,958339
44,2,1,17,4,7,1859,0,0,0,0,0,1,224,524045
55,2,1,3,2,5,1868,0,0,1,1,1,1,594,648659
97,3,2,13,5,7,1872,1,0,0,1,0,1,163,1102128
117,1,0,6,1,3,1944,0,0,1,0,1,1,213,1840630
86,4,3,14,6,8,1913,0,0,1,0,1,1,770,1063095
34,2,1,10,7,10,2010,1,0,0,0,1,1,472,439546
84,2,1,20,0,3,1945,0,0,1,1,0,1,403,850764
87,3,2,16,6,8,1946,0,0,0,0,0,0,87,1227704
78,2,1,18,3,6,1858,0,0,0,0,1,0,430,671944
128,5,4,13,3,5,1974,0,0,0,1,1,0,530,1067533
64,1,0,10,1,3,2006,0,0,0,1,0,0,624,766183
125,2,1,6,3,6,1867,1,0,0,0,0,0,217,1625352
125,4,3,10,7,8,1931,1,1,0,1,1,1,123,1802045
88,3,2,5,1,4,1878,0,1,0,0,1,0,120,1192339
71,2,1,6,1,4,1965,0,0,0,1,1,0,340,962507
78,2,1,7,1,3,1932,0,0,0,1,0,0,67,1159105
144,4,3,11,4,5,1910,0,1,0,0,0,0,315,1591797
106,6,5,16,7,10,1982,1,0,1,1,1,0,417,1519466
36,5,4,12,4,5,1954,0,0,0,1,1,0,404,480718
75,2,1,12,1,3,1963,1,0,1,1,0,0,307,890305
39,6,5,20,3,6,1918,0,0,1,1,1,0,337,346615
43,1,0,5,2,3,1967,0,0,0,0,0,0,838,530236
50,1,0,16,0,3,1864,0,0,1,0,0,0,368,639393
30,4,3,6,3,5,1939,0,0,0,0,1,0,1062,399066
38,2,1,9,1,3,1937,1,0,0,1,0,0,511,416581
132,1,0,5,6,7,1932,0,0,0,0,1,0,134,1446979
43,2,1,16,3,4,1869,0,1,0,1,1,0,141,696277
95,2,1,18,6,9,1956,0,1,1,1,0,0,85,1110998
67,4,3,19,7,10,1922,1,0,1,0,0,1,153,735829
82,3,2,12,7,9,1941,1,0,0,0,1,1,318,1135173
84,2,1,2,1,3,1865,0,0,0,0,0,1,399,976491
37,3,2,10,7,10,1924,1,0,0,0,1,1,104,504979
95,5,4,12,5,6,1947,0,0,0,1,1,0,496,965637
33,4,3,14,5,8,2002,1,1,0,0,1,0,673,417905
42,2,1,18,0,3,1968,1,0,0,1,0,0,281,478118
83,6,5,19,1,3,1906,0,0,1,0,0,1,375,874536
36,4,3,6,7,10,1998,0,0,1,0,1,0,232,544823
25,1,0,5,1,3,1982,1,0,1,0,0,0,145,348646
74,1,0,16,1,3,1986,0,0,0,1,0,0,784,990865
28,2,1,14,2,4,1860,1,0,0,0,1,0,489,270085
87,4,3,13,6,8,1954,0,0,0,1,1,0,257,759685
52,2,1,2,3,5,1914,0,0,0,0,1,1,653,556057
73,3,2,2,7,8,1875,1,1,0,0,1,1,630,906680
72,1,0,12,2,5,1868,0,0,0,0,1,0,264,739636
91,5,4,1,1,3,1865,0,0,1,0,1,0,268,1127731
84,2,1,19,3,5,1905,0,0,1,0,1,0,400,911045
36,5,4,16,4,6,1950,0,0,0,0,1,0,93,511601
54,5,4,7,2,5,1963,0,0,1,0,1,1,508,858844
73,1,0,7,2,5,1917,1,0,1,0,1,0,203,1214059
127,3,2,16,1,4,1927,1,0,0,0,1,0,421,1774320
85,1,0,6,2,4,1879,1,0,0,0,0,0,132,1299593
120,5,4,18,4,6,1856,1,0,0,1,1,0,101,1433078
75,3,2,1,2,5,1989,1,0,0,0,1,1,714,889450
107,1,0,1,0,3,2001,1,0,0,0,0,1,492,1469756
70,1,0,14,1,3,1956,1,0,0,1,1,0,329,754498
105,2,1,6,2,5,1871,0,0,1,0,1,1,428,1464409
51,5,4,6,7,9,1879,0,0,1,0,0,0,191,650705
135,3,2,4,2,4,2016,0,0,0,0,1,1,451,1785842
79,4,3,12,0,3,1997,1,0,0,1,0,1,321,902482
30,2,1,18,3,5,2003,0,0,0,0,0,1,446,319135
74,1,0,10,4,7,1898,0,0,0,0,1,1,275,885861
85,6,5,3,4,6,1918,0,0,0,0,1,1,241,1003228
97,1,0,3,2,4,1891,1,0,1,0,1,0,282,1173615
161,5,4,8,4,7,1855,1,0,0,1,1,0,196,2465581
47,2,1,1,4,5,1883,0,0,0,1,1,0,383,458682
162,1,0,18,1,4,1971,1,0,0,0,1,0,319,1676169
61,3,2,15,1,3,1973,1,0,1,0,0,0,260,801944
42,6,5,20,3,6,1859,0,0,1,0,1,1,171,383122
47,6,5,17,4,7,1877,0,1,0,1,1,0,349,522953
82,2,1,11,7,8,1852,0,1,0,0,1,0,799,894474
39,2,1,13,3,4,1926,0,0,0,1,1,0,612,358088
51,3,2,20,5,7,1960,1,0,1,0,1,0,598,422349
73,3,2,10,1,4,1975,1,1,0,1,1,0,203,753246
134,4,3,13,6,8,1884,1,0,1,0,0,0,477,1282902
95,2,1,17,4,7,1963,0,0,0,0,1,0,342,1083880
63,5,4,1,4,7,1911,1,1,1,0,0,1,519,1074526
82,3,2,20,1,3,1901,0,0,0,1,1,1,331,680819
69,4,3,16,0,3,1965,0,0,1,0,0,1,146,1082816
34,3,2,16,5,6,1896,0,0,0,0,1,0,283,450707
147,2,1,3,1,4,2005,1,0,0,1,1,0,114,1743031
135,6,5,2,1,3,1950,1,1,1,1,0,1,222,1637990
59,3,2,6,1,3,1872,0,0,0,1,1,0,143,780797
48,4,3,11,0,3,1956,1,0,1,0,0,1,221,568932
34,5,4,3,4,5,1884,0,0,0,1,1,1,165,464169
85,3,2,1,3,4,1952,0,0,1,1,1,1,172,1232758
85,3,2,11,2,3,1968,0,0,0,1,0,1,475,1046109
40,1,0,13,3,6,1881,0,0,0,1,0,0,262,358742
70,1,0,5,6,8,1851,1,0,1,0,1,0,183,949393
94,2,1,18,7,8,1961,1,1,0,0,1,0,306,1282217
47,2,1,15,3,5,1971,0,0,1,0,1,1,279,669973
55,2,1,18,4,5,1865,0,0,1,1,0,0,329,599870
55,2,1,15,2,5,1993,1,0,0,0,1,1,362,700254
41,2,1,20,3,6,1941,0,0,0,0,1,0,257,355919
56,2,1,20,5,6,1903,0,0,1,1,1,1,141,657922
29,1,0,20,3,5,1997,0,0,1,0,1,0,372,271865
53,1,0,7,2,3,1882,0,0,0,1,0,0,379,731458
54,3,2,17,4,5,1985,0,0,0,1,1,1,333,750123
59,3,2,8,7,8,2001,0,0,0,0,1,0,334,957499
79,2,1,13,6,8,1902,0,0,0,1,1,0,284,640198
33,3,2,16,5,6,1913,0,0,0,0,1,1,286,507270
36,4,3,10,2,3,1907,0,0,0,0,0,0,115,398690
41,2,1,14,1,4,1967,1,0,1,1,1,0,356,503226
32,3,2,6,6,8,1886,1,0,0,1,1,1,222,490617
83,5,4,20,1,4,1861,0,1,0,0,1,1,293,763082
46,4,3,7,4,7,1933,0,0,0,0,1,0,419,651341
60,2,1,6,3,4,1981,0,0,1,1,1,1,117,1143481
39,3,2,17,3,4,1943,0,0,0,0,1,0,230,437550
51,2,1,8,3,4,2008,1,0,0,0,0,0,401,871176
72,3,2,12,6,9,1935,0,1,0,1,1,0,214,908540
74,6,5,4,0,3,1887,0,1,0,0,0,0,154,818088
36,3,2,10,5,7,2014,0,0,0,0,1,0,416,404792
59,5,4,6,6,9,1941,0,0,1,0,1,1,414,854536
40,2,1,7,7,10,1863,0,1,0,1,1,0,344,628915
58,6,5,8,3,5,1924,1,0,1,0,1,1,157,1330530
44,3,2,3,3,4,1977,1,0,0,0,1,0,265,580747
153,1,0,8,7,9,1922,0,0,0,1,1,0,958,2272289
93,3,2,15,3,6,2001,1,0,0,0,1,0,277,1100959
75,2,1,1,3,4,1859,0,1,1,0,1,0,190,1272400
53,1,0,13,2,3,1887,0,1,0,0,0,1,260,666656
95,4,3,18,0,3,2020,1,0,1,1,0,1,208,1350994
59,2,1,15,3,4,1954,0,0,0,0,1,0,189,712365
144,4,3,7,4,7,2014,1,0,1,0,1,0,137,2871511
100,2,1,15,4,6,2019,0,0,1,0,1,0,374,1356167
50,2,1,3,0,3,1881,1,0,0,0,0,0,369,453934
135,6,5,14,5,8,1863,1,0,1,1,0,0,719,1247885
53,2,1,20,3,6,1981,0,0,0,0,1,1,273,547889
158,3,2,4,3,5,2001,1,0,0,1,1,0,159,2472033
139,3,2,4,7,10,1945,0,0,0,1,1,0,413,1683532
71,3,2,3,2,5,1859,1,0,0,1,1,0,420,715658
29,5,4,5,5,6,1967,0,0,0,0,0,0,141,326798
69,3,2,11,4,5,1956,1,0,0,0,0,1,137,966221
35,2,1,8,5,8,1865,1,0,0,1,1,1,491,677364
44,4,3,2,3,4,2016,1,0,0,0,0,0,102,578399
46,2,1,16,2,4,1945,1,0,0,1,1,1,425,772553
35,3,2,10,3,4,1867,1,0,0,0,1,0,466,384777
69,5,4,18,2,4,2002,0,0,1,0,0,0,146,888879
42,3,2,7,1,3,1856,1,1,1,0,0,1,506,818558
54,4,3,5,6,7,1975,1,0,1,0,1,0,145,744720
46,3,2,7,3,4,1964,1,0,0,1,1,0,518,679605
79,4,3,6,6,8,1960,1,0,0,1,1,0,59,1362714
76,5,4,1,3,6,1931,0,0,0,1,1,0,268,886139
52,2,1,11,4,7,1980,0,0,0,1,0,0,456,543036
81,2,1,13,7,10,1978,1,0,1,0,0,1,308,928285
115,3,2,12,7,10,1882,0,1,1,0,1,1,321,1580317
24,4,3,1,2,3,1923,0,1,0,1,0,1,400,361026
45,2,1,15,6,7,1957,1,1,0,0,0,0,294,572361
38,1,0,1,2,4,1908,0,1,1,1,1,0,169,551424
43,2,1,3,0,3,1921,1,0,1,1,1,0,320,520650
23,6,5,15,4,7,2009,1,0,0,1,1,1,269,321309
23,3,2,9,7,9,1936,0,0,0,1,1,1,431,285067
